,ticker,currency,financialCurrency,fullExchangeName,longName,shortName,exchangeTimezoneName,marketCap,price,MarketCapCurrencyRatesToUSD,FinancalCurrencyRatesToUSD,marketCap_USD,price_USD,fullTimeEmployees,city,country,totalRevenue2021*,totalRevenue2020,totalRevenue2019,totalRevenue2018,totalRevenue2017,netIncome2021*,netIncome2020,netIncome2019,netIncome2018,netIncome2017,researchDevelopment2021*,researchDevelopment2020,researchDevelopment2019,researchDevelopment2018,researchDevelopment2017,sharesOutstanding,totalRevenue2021*_USD,totalRevenue2020_USD,totalRevenue2019_USD,totalRevenue2018_USD,totalRevenue2017_USD,netIncome2021*_USD,netIncome2020_USD,netIncome2019_USD,netIncome2018_USD,netIncome2017_USD,researchDevelopment2021*_USD,researchDevelopment2020_USD,researchDevelopment2019_USD,researchDevelopment2018_USD,researchDevelopment2017_USD
0,688333.SS,CNY,CNY,Shanghai,"Xi'an Bright Laser Technologies Co.,Ltd.",XI'AN BRIGHT LASER TECHNOLOGIES,Asia/Shanghai,12910434304,159.8,6.376474762707354,6.376474762707354,2024697781.210762,25.060869202303778,733.0,Xi'an,China,518942059.0,412168053.0,321742830.0,291479177.0,219948300.0,-20220169.0,86702290.0,74268629.0,57183580.0,34255400.0,99245791.0,68230484.0,42034265.0,25610014.0,23252500.0,80000000,81383848.96228541,64638858.98373723,50457790.85988147,45711649.12385576,34493714.502935365,-3171057.638031774,13597213.699813582,11647286.590759857,8967898.741548648,5372153.309590718,15564366.627848418,10700345.651651317,6592085.213892212,4016327.9794941708,3646607.3912801533
1,DDD,USD,USD,NYSE,3D Systems Corporation,3D Systems Corporation,America/New_York,2059037568,16.03,1.0,1.0,2059037568.0,16.03,1995.0,Rock Hill,United States,640097000.0,557240000.0,636354000.0,691545000.0,646069000.0,308422000.0,-149594000.0,-69880000.0,-45505000.0,-66191000.0,69023000.0,74143000.0,83290000.0,95298000.0,94627000.0,128449000,640097000.0,557240000.0,636354000.0,691545000.0,646069000.0,308422000.0,-149594000.0,-69880000.0,-45505000.0,-66191000.0,69023000.0,74143000.0,83290000.0,95298000.0,94627000.0
2,DM,USD,USD,NYSE,"Desktop Metal, Inc.","Desktop Metal, Inc.",America/New_York,1091659136,3.51,1.0,1.0,1091659136.0,3.51,202.0,Burlington,United States,64097000.0,16470000.0,26439000.0,1034000.0,,-138155000.0,-34015000.0,-103596000.0,-121339000.0,,57594000.0,43136000.0,54656000.0,59607000.0,,311014016,64097000.0,16470000.0,26439000.0,1034000.0,,-138155000.0,-34015000.0,-103596000.0,-121339000.0,,57594000.0,43136000.0,54656000.0,59607000.0,
3,SSYS,USD,USD,NasdaqGS,Stratasys Ltd.,"Stratasys, Ltd.",America/New_York,1379389696,21.07,1.0,1.0,1379389696.0,21.07,1981.0,Eden Prairie,United States,582598000.0,520817000.0,636080000.0,663237000.0,668362000.0,-46116000.0,-443721000.0,-10849000.0,-10964000.0,-39981000.0,84636000.0,84012000.0,94253000.0,98964000.0,96237000.0,65467000,582598000.0,520817000.0,636080000.0,663237000.0,668362000.0,-46116000.0,-443721000.0,-10849000.0,-10964000.0,-39981000.0,84636000.0,84012000.0,94253000.0,98964000.0,96237000.0
4,VJET,USD,EUR,NasdaqCM,voxeljet AG,voxeljet AG,America/New_York,33376872,4.75,1.0,0.8870753126940477,33376872.0,4.75,251.0,Friedberg,Germany,22800000.0,21567000.0,24602000.0,26009000.0,23178000.0,-15211000.0,-15339000.0,-13714000.0,-8711000.0,-8538000.0,6535000.0,6500000.0,7183000.0,6334000.0,5528000.0,7026710,25702440.0,24312479.1,27733834.6,29319945.7,26128559.4,-17147360.3,-17291654.7,-15459792.200000001,-9819910.3,-9624887.4,7366905.5,7327450.0,8097395.9,7140318.2,6231714.4
5,NNDM,USD,USD,NasdaqCM,Nano Dimension Ltd.,Nano Dimension Ltd.,America/New_York,831024320,3.24,1.0,1.0,831024320.0,3.24,92.0,Ness Ziona,Israel,4933000.0,3399000.0,7070000.0,5100000.0,829000.0,-58592000.0,-48494000.0,-8353000.0,-15488000.0,-17503000.0,30312000.0,9878000.0,8082000.0,8623000.0,10819000.0,256488992,4933000.0,3399000.0,7070000.0,5100000.0,829000.0,-58592000.0,-48494000.0,-8353000.0,-15488000.0,-17503000.0,30312000.0,9878000.0,8082000.0,8623000.0,10819000.0
6,ONVO,USD,USD,NasdaqCM,"Organovo Holdings, Inc.","Organovo Holdings, Inc.",America/New_York,23852934,2.74,1.0,1.0,23852934.0,2.74,11.0,Solana Beach,United States,,,,,,-11144000.0,,,,,,,,,,8705450,,,,,,-11144000.0,,,,,,,,,
7,SHPW,USD,USD,NYSE,"Shapeways Holdings, Inc.","Shapeways Holdings, Inc.",America/New_York,145855424,3.02,1.0,1.0,145855424.0,3.02,,Long Island City,United States,,31775000.0,33511000.0,,,,-3168000.0,-6973000.0,,,,5592000.0,5246000.0,,,48296500,,31775000.0,33511000.0,,,,-3168000.0,-6973000.0,,,,5592000.0,5246000.0,,
8,MKFG,USD,USD,NYSE,Markforged Holding Corporation,Markforged Holding Corporation,America/New_York,786149760,4.23,1.0,1.0,786149760.0,4.23,350.0,Watertown,United States,,71851000.0,72549000.0,,,,-17985000.0,-29875000.0,,,,17176000.0,20270000.0,,,185851008,,71851000.0,72549000.0,,,,-17985000.0,-29875000.0,,,,17176000.0,20270000.0,,
9,AM3D.DE,EUR,EUR,XETRA,SLM Solutions Group AG,SLM SOLUTIONS GRP AG,Europe/Berlin,278949056,13.14,0.8870753126940477,0.8870753126940477,314459270.8288,14.812722,429.0,Lübeck,Germany,72639000.0,66789000.0,52330000.0,75014000.0,85625000.0,-24739000.0,-30252000.0,-47055000.0,-13382000.0,-3741000.0,,,,,,21229000,81885944.7,75291239.7,58991609.0,84563282.2,96525062.5,-27888274.7,-34103079.6,-53045101.5,-15085528.6,-4217229.3,,,,,
